,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
171,Flying Leathernecks,17,1951,102.0,Action,6.4,Nicholas Ray,John Wayne,Robert Ryan,Don Taylor,Janis Carter,4620,1950-1960,6.0
172,Hakuchi,36,1951,166.0,Drama,7.3,Akira Kurosawa,Setsuko Hara,Masayuki Mori,Toshirô Mifune,Yoshiko Kuga,4660,1950-1960,6.0
173,Royal Wedding,28,1951,93.0,Comedy,6.7,Stanley Donen,Fred Astaire,Jane Powell,Peter Lawford,Sarah Churchill,4988,1950-1960,6.0
174,Bud Abbott and Lou Costello Meet the Invisible Man,91,1951,82.0,Comedy,6.8,Charles Lamont,Bud Abbott,Lou Costello,Nancy Guild,Arthur Franz,5027,1950-1960,6.0
175,Sommarlek,37,1951,96.0,Drama,7.5,Ingmar Bergman,Maj-Britt Nilsson,Birger Malmsten,Alf Kjellin,Annalisa Ericson,5503,1950-1960,6.0
176,The River,39,1951,99.0,Drama,7.5,Jean Renoir,Patricia Walters,Nora Swinburne,Esmond Knight,Arthur Shields,5780,1950-1960,6.0
177,The Desert Fox: The Story of Rommel,46,1951,88.0,Biography,6.9,Henry Hathaway,James Mason,Cedric Hardwicke,Jessica Tandy,Luther Adler,5788,1950-1960,6.0
178,People Will Talk,32,1951,110.0,Comedy,7.4,Joseph L. Mankiewicz,Cary Grant,Jeanne Crain,Finlay Currie,Hume Cronyn,5936,1950-1960,6.0
179,Captain Horatio Hornblower R.N.,31,1951,117.0,Action,7.3,Raoul Walsh,Gregory Peck,Virginia Mayo,Robert Beatty,Moultrie Kelsall,6244,1950-1960,6.0
180,On Dangerous Ground,19,1951,82.0,Drama,7.3,Nicholas Ray,Ida Lupino,Ida Lupino,Robert Ryan,Ward Bond,6554,1950-1960,6.0
181,Miracolo a Milano,49,1951,97.0,Comedy,7.7,Vittorio De Sica,Emma Gramatica,Francesco Golisano,Paolo Stoppa,Guglielmo Barnabò,6723,1950-1960,6.0
182,When Worlds Collide,14,1951,83.0,Action,6.6,Rudolph Maté,Richard Derr,Barbara Rush,Peter Hansen,John Hoyt,7407,1950-1960,6.0
183,Detective Story,20,1951,103.0,Crime,7.6,William Wyler,Kirk Douglas,Eleanor Parker,William Bendix,Cathy O'Donnell,7588,1950-1960,6.0
184,Early Summer,26,1951,125.0,Drama,8.2,Yasujirô Ozu,Setsuko Hara,Chishû Ryû,Chikage Awashima,Kuniko Miyake,7653,1950-1960,6.0
185,The Tragedy of Othello: The Moor of Venice,18,1951,90.0,Drama,7.6,Orson Welles,Orson Welles,Micheál MacLiammóir,Robert Coote,Suzanne Cloutier,7924,1950-1960,6.0
186,The Man in the White Suit,22,1951,85.0,Comedy,7.3,Alexander Mackendrick,Alec Guinness,Joan Greenwood,Cecil Parker,Michael Gough,9088,1950-1960,6.0
187,Journal d'un curé de campagne,33,1951,115.0,Drama,7.9,Robert Bresson,Claude Laydu,Nicole Ladmiral,Jean Riveyre,Adrien Borel,10505,1950-1960,6.0
188,The Lavender Hill Mob,23,1951,78.0,Comedy,7.6,Charles Crichton,Alec Guinness,Stanley Holloway,Sidney James,Alfie Bass,13307,1950-1960,6.0
189,Quo Vadis,10,1951,171.0,Biography,7.2,Mervyn LeRoy,Anthony Mann,Robert Taylor,Deborah Kerr,Leo Genn,14090,1950-1960,6.0
190,Scrooge,16,1951,86.0,Drama,8.1,Brian Desmond Hurst,Alastair Sim,Jack Warner,Kathleen Harrison,Mervyn Johns,20704,1950-1960,6.0
191,A Place in the Sun,5,1951,122.0,Drama,7.8,George Stevens,Montgomery Clift,Elizabeth Taylor,Shelley Winters,Anne Revere,20836,1950-1960,6.0
192,The Thing from Another World,7,1951,87.0,Horror,7.1,Christian Nyby,Howard Hawks,Kenneth Tobey,Margaret Sheridan,James Arness,26554,1950-1960,6.0
193,An American in Paris,8,1951,114.0,Drama,7.2,Vincente Minnelli,Gene Kelly,Leslie Caron,Oscar Levant,Georges Guétary,31311,1950-1960,6.0
194,Ace in the Hole,9,1951,111.0,Drama,8.1,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,32696,1950-1960,6.0
195,The African Queen,4,1951,105.0,Adventure,7.8,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,73059,1950-1960,6.0
196,The Day the Earth Stood Still,6,1951,92.0,Drama,7.7,Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,77162,1950-1960,6.0
197,A Streetcar Named Desire,2,1951,122.0,Drama,8.0,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,101147,1950-1960,6.0
198,Strangers on a Train,1,1951,101.0,Crime,8.0,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,125731,1950-1960,6.0
199,Alice in Wonderland,3,1951,75.0,Animation,7.4,Clyde Geronimi,Wilfred Jackson,Hamilton Luske,Jack Kinney,Kathryn Beaumont,132236,1950-1960,6.0
200,13 East Street,70,1952,72.0,Thriller,5.7,Robert S. Baker,Patrick Holt,Sandra Dorne,Sonia Holm,Robert Ayres,116,1950-1960,6.0
201,Daag,50,1952,149.0,Drama,7.0,Amiya Chakrabarty,Dilip Kumar,Nimmi,Usha Kiran,Lalita Pawar,159,1950-1960,6.0
202,Everything I Have Is Yours,60,1952,92.0,Musical,5.7,Robert Z. Leonard,Marge Champion,Gower Champion,Dennis O'Keefe,Monica Lewis,170,1950-1960,6.0
203,So Little Time,38,1952,88.0,Drama,6.9,Compton Bennett,Maria Schell,Marius Goring,Lucie Mannheim,Gabrielle Dorziat,175,1950-1960,6.0
204,Strange Fascination,24,1952,80.0,Drama,6.2,Hugo Haas,Cleo Moore,Hugo Haas,Mona Barrie,Rick Vallin,212,1950-1960,6.0
205,The Legend of the Lone Ranger,45,1952,74.0,Western,6.9,George B. Seitz Jr.,Clayton Moore,Jay Silverheels,Glenn Strange,George Chesebro,219,1950-1960,6.0
206,Aan,53,1952,161.0,Action,6.9,Mehboob Khan,Dilip Kumar,Nimmi,Prem Nath,Nadira,281,1950-1960,6.0
207,"Manina, la fille sans voiles",64,1952,86.0,Adventure,5.5,Willy Rozier,Brigitte Bardot,Jean-François Calvé,Howard Vernon,Espanita Cortez,305,1950-1960,6.0
208,Botany Bay,29,1952,93.0,Adventure,6.1,John Farrow,Alan Ladd,James Mason,Patricia Medina,Cedric Hardwicke,466,1950-1960,6.0
209,Son of Ali Baba,65,1952,75.0,Action,5.9,Kurt Neumann,Tony Curtis,Piper Laurie,Susan Cabot,William Reynolds,647,1950-1960,6.0
210,Stars and Stripes Forever,10,1952,90.0,Biography,7.2,Henry Koster,Clifton Webb,Robert Wagner,Debra Paget,Ruth Hussey,789,1950-1960,6.0
211,Radar Men from the Moon,33,1952,167.0,Action,4.7,Fred C. Brannon,George Wallace,Aline Towne,Roy Barcroft,William Bakewell,855,1950-1960,6.0
212,The Miracle of Our Lady of Fatima,68,1952,102.0,Drama,6.8,John Brahm,Gilbert Roland,Angela Clarke,Frank Silvera,Jay Novello,1068,1950-1960,6.0
213,Sailor Beware,47,1952,108.0,Comedy,6.4,Hal Walker,Dean Martin,Jerry Lewis,Corinne Calvet,Marion Marshall,1134,1950-1960,6.0
214,The Member of the Wedding,58,1952,93.0,Drama,6.8,Fred Zinnemann,Ethel Waters,Julie Harris,Brandon De Wilde,Arthur Franz,1334,1950-1960,6.0
215,The Card,16,1952,85.0,Comedy,7.1,Ronald Neame,Alec Guinness,Glynis Johns,Valerie Hobson,Petula Clark,1380,1950-1960,6.0
216,Million Dollar Mermaid,26,1952,115.0,Biography,6.6,Mervyn LeRoy,Esther Williams,Victor Mature,Walter Pidgeon,David Brian,1394,1950-1960,6.0
217,"Blackbeard, the Pirate",56,1952,99.0,Adventure,6.0,Raoul Walsh,Robert Newton,Linda Darnell,William Bendix,Keith Andes,1396,1950-1960,6.0
218,The Duel at Silver Creek,62,1952,77.0,Western,6.4,Don Siegel,Audie Murphy,Faith Domergue,Stephen McNally,Susan Cabot,1464,1950-1960,6.0
219,The Story of Robin Hood and His Merrie Men,32,1952,84.0,Action,6.7,Ken Annakin,Richard Todd,Joan Rice,Peter Finch,James Hayter,1666,1950-1960,6.0
220,Springfield Rifle,9,1952,93.0,Thriller,6.6,André De Toth,Gary Cooper,Phyllis Thaxter,David Brian,Paul Kelly,1844,1950-1960,6.0
221,Big Jim McLain,11,1952,90.0,Crime,5.4,Edward Ludwig,John Wayne,Nancy Olson,James Arness,Alan Napier,1947,1950-1960,6.0
222,Room for One More,69,1952,98.0,Comedy,7.2,Norman Taurog,Cary Grant,Betsy Drake,Lurene Tuttle,Randy Stuart,2118,1950-1960,6.0
223,Son of Paleface,66,1952,95.0,Comedy,6.9,Frank Tashlin,Bob Hope,Jane Russell,Roy Rogers,Trigger,2149,1950-1960,6.0
224,Carrie,59,1952,118.0,Drama,7.3,William Wyler,Laurence Olivier,Jennifer Jones,Miriam Hopkins,Eddie Albert,2183,1950-1960,6.0
225,Affair in Trinidad,49,1952,98.0,Crime,6.6,Vincent Sherman,Rita Hayworth,Glenn Ford,Alexander Scourby,Valerie Bettis,2206,1950-1960,6.0
226,O. Henry's Full House,39,1952,117.0,Drama,7.2,Henry Hathaway,Howard Hawks,Henry King,Henry Koster,Jean Negulesco,2277,1950-1960,6.0
227,Against All Flags,67,1952,84.0,Action,6.6,George Sherman,Errol Flynn,Maureen O'Hara,Anthony Quinn,Alice Kelley,2448,1950-1960,6.0
228,My Cousin Rachel,43,1952,98.0,Drama,7.1,Henry Koster,Olivia de Havilland,Richard Burton,Audrey Dalton,Ronald Squire,2521,1950-1960,6.0
229,The Lusty Men,61,1952,113.0,Action,7.4,Nicholas Ray,Robert Parrish,Susan Hayward,Robert Mitchum,Arthur Kennedy,2666,1950-1960,6.0
230,Fanfan la tulipe,48,1952,102.0,Adventure,7.2,Christian-Jaque,Gérard Philipe,Gina Lollobrigida,Marcel Herrand,Olivier Hussenot,2840,1950-1960,6.0
231,Jack and the Beanstalk,35,1952,70.0,Comedy,5.9,Jean Yarbrough,Bud Abbott,Lou Costello,Buddy Baer,Dorothy Ford,2894,1950-1960,6.0
232,The Sniper,54,1952,88.0,Crime,7.2,Edward Dmytryk,Arthur Franz,Adolphe Menjou,Gerald Mohr,Marie Windsor,3010,1950-1960,6.0
233,Macao,40,1952,81.0,Adventure,6.7,Josef von Sternberg,Mel Ferrer,Nicholas Ray,Robert Stevenson,Robert Mitchum,3028,1950-1960,6.0
234,Deadline - U.S.A.,55,1952,87.0,Crime,7.2,Richard Brooks,Humphrey Bogart,Ethel Barrymore,Kim Hunter,Ed Begley,3216,1950-1960,6.0
235,The Star,63,1952,89.0,Drama,7.0,Stuart Heisler,Bette Davis,Sterling Hayden,Natalie Wood,Warner Anderson,3359,1950-1960,6.0
236,The Prisoner of Zenda,44,1952,96.0,Adventure,7.1,Richard Thorpe,Stewart Granger,Deborah Kerr,James Mason,Louis Calhern,3437,1950-1960,6.0
237,Hans Christian Andersen,27,1952,112.0,Biography,6.9,Charles Vidor,Danny Kaye,Farley Granger,Zizi Jeanmaire,Joseph Walsh,3570,1950-1960,6.0
238,Europa '51,51,1952,118.0,Drama,7.5,Roberto Rossellini,Ingrid Bergman,Alexander Knox,Ettore Giannini,Giulietta Masina,3630,1950-1960,6.0
239,The Big Sky,46,1952,140.0,Drama,7.0,Howard Hawks,Kirk Douglas,Dewey Martin,Elizabeth Threatt,Arthur Hunnicutt,3994,1950-1960,6.0
240,5 Fingers,41,1952,108.0,Drama,7.7,Joseph L. Mankiewicz,James Mason,Danielle Darrieux,Michael Rennie,Walter Hampden,4370,1950-1960,6.0
241,Le plaisir,57,1952,97.0,Comedy,7.7,Max Ophüls,Jean Gabin,Danielle Darrieux,Simone Simon,Claude Dauphin,4400,1950-1960,6.0
242,Road to Bali,31,1952,91.0,Adventure,6.5,Hal Walker,Bing Crosby,Bob Hope,Dorothy Lamour,Murvyn Vye,4573,1950-1960,6.0
243,"Come Back, Little Sheba",28,1952,99.0,Drama,7.5,Daniel Mann,Burt Lancaster,Shirley Booth,Terry Moore,Richard Jaeckel,4575,1950-1960,6.0
244,The Snows of Kilimanjaro,19,1952,114.0,Adventure,6.2,Henry King,Roy Ward Baker,Gregory Peck,Susan Hayward,Ava Gardner,4830,1950-1960,6.0
245,Moulin Rouge,20,1952,119.0,Biography,7.1,John Huston,José Ferrer,Zsa Zsa Gabor,Suzanne Flon,Claude Nollier,5121,1950-1960,6.0
246,The Importance of Being Earnest,13,1952,95.0,Comedy,7.5,Anthony Asquith,Michael Redgrave,Richard Wattis,Michael Denison,Walter Hudd,5275,1950-1960,6.0
247,Pat and Mike,37,1952,95.0,Comedy,7.0,George Cukor,Spencer Tracy,Katharine Hepburn,Aldo Ray,William Ching,5298,1950-1960,6.0
248,Sudden Fear,15,1952,110.0,Film-Noir,7.5,David Miller,Joan Crawford,Jack Palance,Gloria Grahame,Bruce Bennett,5551,1950-1960,6.0
249,Scaramouche,30,1952,115.0,Action,7.5,George Sidney,Stewart Granger,Janet Leigh,Eleanor Parker,Mel Ferrer,5613,1950-1960,6.0
250,Lo sceicco bianco,34,1952,86.0,Comedy,7.2,Federico Fellini,Alberto Sordi,Giulietta Masina,Brunella Bovo,Leopoldo Trieste,5668,1950-1960,6.0
251,Clash by Night,4,1952,105.0,Drama,7.1,Fritz Lang,Barbara Stanwyck,Robert Ryan,Paul Douglas,Marilyn Monroe,5845,1950-1960,6.0
252,The Crimson Pirate,23,1952,105.0,Action,7.3,Robert Siodmak,Burt Lancaster,Nick Cravat,Eva Bartok,Torin Thatcher,5903,1950-1960,6.0
253,Don't Bother to Knock,14,1952,76.0,Drama,6.9,Roy Ward Baker,Richard Widmark,Marilyn Monroe,Anne Bancroft,Donna Corcoran,6244,1950-1960,6.0
254,Kansas City Confidential,22,1952,99.0,Crime,7.4,Phil Karlson,John Payne,Coleen Gray,Preston Foster,Neville Brand,6339,1950-1960,6.0
255,Saikaku ichidai onna,52,1952,148.0,Drama,8.1,Kenji Mizoguchi,Kinuyo Tanaka,Tsukie Matsuura,Ichirô Sugai,Toshirô Mifune,6425,1950-1960,6.0
256,The Narrow Margin,42,1952,71.0,Crime,7.7,Richard Fleischer,Charles McGraw,Marie Windsor,Jacqueline White,Queenie Leonard,7232,1950-1960,6.0
257,Bend of the River,25,1952,91.0,Action,7.3,Anthony Mann,James Stewart,Rock Hudson,Arthur Kennedy,Julie Adams,8025,1950-1960,6.0
258,Ivanhoe,17,1952,106.0,Adventure,6.8,Richard Thorpe,Robert Taylor,Elizabeth Taylor,Joan Fontaine,George Sanders,8388,1950-1960,6.0
259,Viva Zapata!,21,1952,113.0,Biography,7.4,Elia Kazan,Marlon Brando,Jean Peters,Anthony Quinn,Joseph Wiseman,10621,1950-1960,6.0
260,Jeux interdits,36,1952,86.0,Comedy,8.1,René Clément,Georges Poujouly,Brigitte Fossey,Amédée,Laurence Badie,11410,1950-1960,6.0
261,Monkey Business,18,1952,97.0,Comedy,7.0,Howard Hawks,Cary Grant,Ginger Rogers,Marilyn Monroe,Charles Coburn,13297,1950-1960,6.0
262,The Greatest Show on Earth,7,1952,152.0,Drama,6.6,Cecil B. DeMille,James Stewart,Charlton Heston,Betty Hutton,Cornel Wilde,13433,1950-1960,6.0
263,The Bad and the Beautiful,2,1952,118.0,Drama,7.8,Vincente Minnelli,Lana Turner,Kirk Douglas,Walter Pidgeon,Dick Powell,13790,1950-1960,6.0
264,Limelight,8,1952,137.0,Drama,8.1,Charles Chaplin,Charles Chaplin,Claire Bloom,Nigel Bruce,Buster Keaton,18899,1950-1960,6.0
265,Umberto D.,12,1952,89.0,Drama,8.2,Vittorio De Sica,Carlo Battisti,Maria Pia Casilio,Lina Gennari,Ileana Simova,23797,1950-1960,6.0
266,The Quiet Man,5,1952,129.0,Comedy,7.8,John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond,35901,1950-1960,6.0
267,Ikiru,6,1952,143.0,Drama,8.3,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka,71297,1950-1960,6.0
268,High Noon,3,1952,85.0,Drama,8.0,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,99139,1950-1960,6.0
269,Singin' in the Rain,1,1952,103.0,Comedy,8.3,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,224717,1950-1960,6.0
270,Skid Kids,56,1953,65.0,Drama,5.7,Don Chaffey,Barry MacGregor,Anthony Lang,Angela Monk,Pauline Black,49,1950-1960,6.0
271,Walking My Baby Back Home,52,1953,95.0,Comedy,6.1,Lloyd Bacon,Donald O'Connor,Janet Leigh,Buddy Hackett,Lori Nelson,123,1950-1960,6.0
272,Fort Ti,93,1953,73.0,Adventure,5.0,William Castle,George Montgomery,Joan Vohs,Irving Bacon,James Seay,184,1950-1960,6.0
273,It Happens Every Thursday,97,1953,80.0,Comedy,6.3,Joseph Pevney,Loretta Young,John Forsythe,Frank McHugh,Edgar Buchanan,226,1950-1960,6.0
274,Confidentially Connie,74,1953,74.0,Comedy,5.8,Edward Buzzell,Van Johnson,Janet Leigh,Louis Calhern,Walter Slezak,263,1950-1960,6.0
275,Conquest of Cochise,85,1953,70.0,Adventure,5.5,William Castle,John Hodiak,Robert Stack,Joy Page,Rico Alaniz,268,1950-1960,6.0
276,I Love Lucy,95,1953,80.0,Comedy,8.2,Marc Daniels,Edward Sedgwick,Lucille Ball,Desi Arnaz,Vivian Vance,371,1950-1960,6.0
277,One Girl's Confession,27,1953,74.0,Action,6.5,Hugo Haas,Cleo Moore,Hugo Haas,Glenn Langan,Helene Stanton,417,1950-1960,6.0
278,Ambush at Tomahawk Gap,70,1953,73.0,Action,5.9,Fred F. Sears,John Hodiak,John Derek,David Brian,María Elena Marqués,457,1950-1960,6.0
279,The Redhead from Wyoming,80,1953,81.0,Western,6.2,Lee Sholem,Maureen O'Hara,Alex Nicol,William Bishop,Robert Strauss,471,1950-1960,6.0
280,Turn the Key Softly,75,1953,81.0,Crime,6.9,Jack Lee,Yvonne Mitchell,Terence Morgan,Joan Collins,Kathleen Harrison,522,1950-1960,6.0
281,Easy to Love,49,1953,96.0,Comedy,6.3,Charles Walters,Esther Williams,Van Johnson,Tony Martin,John Bromfield,576,1950-1960,6.0
282,The Red Beret,46,1953,88.0,Drama,6.0,Terence Young,Alan Ladd,Leo Genn,Susan Stephen,Harry Andrews,617,1950-1960,6.0
283,Last of the Comanches,31,1953,85.0,Action,6.4,André De Toth,Broderick Crawford,Barbara Hale,Johnny Stewart,Lloyd Bridges,691,1950-1960,6.0
284,Thunder Over the Plains,60,1953,82.0,Western,6.5,André De Toth,Randolph Scott,Lex Barker,Phyllis Kirk,Charles McGraw,705,1950-1960,6.0
285,Tumbleweed,81,1953,79.0,Western,6.7,Nathan Juran,Audie Murphy,Lori Nelson,Chill Wills,Roy Roberts,758,1950-1960,6.0
286,I vinti,86,1953,113.0,Drama,6.6,Michelangelo Antonioni,Etchika Choureau,Jean-Pierre Mocky,Jacques Sempey,Henri Poirier,872,1950-1960,6.0
287,Vicki,71,1953,85.0,Crime,6.5,Harry Horner,Jeanne Crain,Jean Peters,Elliott Reid,Richard Boone,920,1950-1960,6.0
288,Gunsmoke,54,1953,79.0,Western,6.7,Nathan Juran,Audie Murphy,Susan Cabot,Paul Kelly,Charles Drake,980,1950-1960,6.0
289,Seminole,90,1953,87.0,Adventure,6.2,Budd Boetticher,Rock Hudson,Barbara Hale,Anthony Quinn,Richard Carlson,1030,1950-1960,6.0
290,The Long Memory,26,1953,96.0,Crime,7.0,Robert Hamer,John Mills,John McCallum,Elizabeth Sellars,Eva Bergh,1046,1950-1960,6.0
291,The Magnetic Monster,62,1953,76.0,Horror,5.8,Curt Siodmak,Herbert L. Strock,Richard Carlson,King Donovan,Jean Byron,1079,1950-1960,6.0
292,Pony Express,82,1953,101.0,History,5.9,Jerry Hopper,Charlton Heston,Rhonda Fleming,Jan Sterling,Forrest Tucker,1181,1950-1960,6.0
293,Man on a Tightrope,89,1953,105.0,Drama,7.1,Elia Kazan,Fredric March,Terry Moore,Gloria Grahame,Cameron Mitchell,1233,1950-1960,6.0
294,Beneath the 12-Mile Reef,83,1953,102.0,Adventure,5.7,Robert D. Webb,Robert Wagner,Terry Moore,Gilbert Roland,J. Carrol Naish,1260,1950-1960,6.0
295,Arrowhead,79,1953,105.0,Drama,5.8,Charles Marquis Warren,Charlton Heston,Jack Palance,Katy Jurado,Brian Keith,1273,1950-1960,6.0
296,Thérèse Raquin,100,1953,102.0,Crime,7.3,Marcel Carné,Simone Signoret,Raf Vallone,Jacques Duby,Maria Pia Casilio,1346,1950-1960,6.0
297,Gun Fury,13,1953,83.0,Action,6.0,Raoul Walsh,Rock Hudson,Donna Reed,Philip Carey,Roberta Haynes,1394,1950-1960,6.0
298,Man in the Attic,51,1953,82.0,Mystery,6.2,Hugo Fregonese,Jack Palance,Constance Smith,Byron Palmer,Frances Bavier,1397,1950-1960,6.0
299,The Sun Shines Bright,68,1953,90.0,Comedy,7.0,John Ford,Charles Winninger,Arleen Whelan,John Russell,Stepin Fetchit,1413,1950-1960,6.0
300,"Pane, amore e fantasia",77,1953,93.0,Comedy,6.9,Luigi Comencini,Vittorio De Sica,Gina Lollobrigida,Marisa Merlini,Virgilio Riento,1500,1950-1960,6.0
301,Malta Story,96,1953,103.0,Drama,6.6,Brian Desmond Hurst,Alec Guinness,Jack Hawkins,Anthony Steel,Muriel Pavlow,1557,1950-1960,6.0
302,Cat-Women of the Moon,94,1953,64.0,Adventure,3.9,Arthur Hilton,Sonny Tufts,Victor Jory,Marie Windsor,Susan Morrow,1568,1950-1960,6.0
303,Thunder Bay,55,1953,103.0,Adventure,6.5,Anthony Mann,James Stewart,Joanne Dru,Gilbert Roland,Dan Duryea,1596,1950-1960,6.0
304,Salome,61,1953,103.0,Drama,5.8,William Dieterle,Rita Hayworth,Stewart Granger,Charles Laughton,Judith Anderson,1673,1950-1960,6.0
305,The Man Between,87,1953,100.0,Crime,7.1,Carol Reed,James Mason,Claire Bloom,Hildegard Knef,Geoffrey Toone,1714,1950-1960,6.0
306,Scared Stiff,63,1953,108.0,Comedy,6.5,George Marshall,Dean Martin,Jerry Lewis,Lizabeth Scott,Carmen Miranda,1757,1950-1960,6.0
307,Dream Wife,10,1953,100.0,Comedy,6.0,Sidney Sheldon,Cary Grant,Deborah Kerr,Walter Pidgeon,Betta St. John,1792,1950-1960,6.0
308,Do Bigha Zamin,66,1953,131.0,Drama,8.4,Bimal Roy,Balraj Sahni,Nirupa Roy,Ratan Kumar,Murad,1863,1950-1960,6.0
309,The Caddy,67,1953,95.0,Comedy,6.5,Norman Taurog,Dean Martin,Jerry Lewis,Donna Reed,Barbara Bates,1900,1950-1960,6.0
310,By the Light of the Silvery Moon,84,1953,101.0,Comedy,7.0,David Butler,Doris Day,Gordon MacRae,Leon Ames,Rosemary DeCamp,2016,1950-1960,6.0
311,The Moon Is Blue,73,1953,99.0,Comedy,6.7,Otto Preminger,William Holden,David Niven,Maggie McNamara,Tom Tully,2153,1950-1960,6.0
312,Elephant Walk,57,1953,103.0,Adventure,6.3,William Dieterle,Elizabeth Taylor,Dana Andrews,Peter Finch,Abraham Sofaer,2203,1950-1960,6.0
313,Escape from Fort Bravo,88,1953,99.0,Western,6.7,John Sturges,William Holden,Eleanor Parker,John Forsythe,William Demarest,2553,1950-1960,6.0
314,Stazione Termini,69,1953,90.0,Drama,6.2,Vittorio De Sica,Jennifer Jones,Montgomery Clift,Gino Cervi,Richard Beymer,2596,1950-1960,6.0
315,The Titfield Thunderbolt,99,1953,84.0,Comedy,7.1,Charles Crichton,Stanley Holloway,George Relph,Naunton Wayne,John Gregson,2610,1950-1960,6.0
316,99 River Street,92,1953,83.0,Action,7.4,Phil Karlson,John Payne,Evelyn Keyes,Brad Dexter,Frank Faylen,2685,1950-1960,6.0
317,Genevieve,72,1953,86.0,Comedy,7.1,Henry Cornelius,Dinah Sheridan,John Gregson,Kay Kendall,Kenneth More,2884,1950-1960,6.0
318,Island in the Sky,1,1953,109.0,Adventure,6.9,William A. Wellman,John Wayne,Lloyd Nolan,Walter Abel,James Arness,3152,1950-1960,6.0
319,Abbott and Costello Go to Mars,91,1953,77.0,Comedy,6.0,Charles Lamont,Bud Abbott,Lou Costello,Robert Paige,Mari Blanchard,3158,1950-1960,6.0
320,Houdini,42,1953,106.0,Biography,6.8,George Marshall,Tony Curtis,Janet Leigh,Torin Thatcher,Angela Clarke,3183,1950-1960,6.0
321,Lili,48,1953,81.0,Drama,7.4,Charles Walters,Leslie Caron,Mel Ferrer,Jean-Pierre Aumont,Zsa Zsa Gabor,3345,1950-1960,6.0
322,Jigokumon,64,1953,89.0,Drama,7.2,Teinosuke Kinugasa,Machiko Kyô,Kazuo Hasegawa,Isao Yamagata,Yatarô Kurokawa,3373,1950-1960,6.0
323,Knights of the Round Table,65,1953,115.0,Action,6.2,Richard Thorpe,Robert Taylor,Ava Gardner,Mel Ferrer,Anne Crawford,3422,1950-1960,6.0
324,Crime Wave,76,1953,73.0,Crime,7.3,André De Toth,Gene Nelson,Sterling Hayden,Phyllis Kirk,Ted de Corsia,3448,1950-1960,6.0
325,The Bigamist,78,1953,80.0,Drama,6.8,Ida Lupino,Joan Fontaine,Ida Lupino,Edmund Gwenn,Edmond O'Brien,3473,1950-1960,6.0
326,"The 5,000 Fingers of Dr. T.",58,1953,89.0,Family,6.8,Roy Rowland,Peter Lind Hayes,Mary Healy,Hans Conried,Tommy Rettig,3898,1950-1960,6.0
327,The Cruel Sea,50,1953,126.0,Drama,7.5,Charles Frend,Jack Hawkins,Donald Sinden,John Stratton,Denholm Elliott,4231,1950-1960,6.0
328,The Desert Rats,98,1953,88.0,Action,6.7,Robert Wise,Richard Burton,James Mason,Robert Newton,Robert Douglas,4652,1950-1960,6.0
329,Robot Monster,53,1953,66.0,Comedy,3.0,Phil Tucker,George Nader,Gregory Moffett,Claudia Barrett,Selena Royle,4663,1950-1960,6.0
330,The Blue Gardenia,20,1953,85.0,Crime,6.9,Fritz Lang,Anne Baxter,Richard Conte,Ann Sothern,Raymond Burr,4910,1950-1960,6.0
331,Kiss Me Kate,45,1953,109.0,Comedy,7.1,George Sidney,Kathryn Grayson,Howard Keel,Ann Miller,Keenan Wynn,5766,1950-1960,6.0
332,Gycklarnas afton,59,1953,93.0,Drama,7.5,Ingmar Bergman,Åke Grönberg,Harriet Andersson,Hasse Ekman,Anders Ek,6278,1950-1960,6.0
333,Titanic,34,1953,98.0,Drama,7.0,Jean Negulesco,Clifton Webb,Barbara Stanwyck,Robert Wagner,Audrey Dalton,6418,1950-1960,6.0
334,Angel Face,18,1953,91.0,Crime,7.2,Otto Preminger,Robert Mitchum,Jean Simmons,Mona Freeman,Herbert Marshall,7136,1950-1960,6.0
335,"The Beast from 20,000 Fathoms",47,1953,80.0,Horror,6.7,Eugène Lourié,Paul Hubschmid,Paula Raymond,Cecil Kellaway,Kenneth Tobey,7183,1950-1960,6.0
